experiment_id	id	filamented_id	survived_strict	survived_soft	divided	filamentation_threshold	lived_time	centered_antibiotic_start_time	centered_antibiotic_end_time	centered_experiment_end_time	sos_at_time	dead_or_missing_at_time	initial_length	initial_gfp	initial_ds_red	end_length	end_gfp	end_ds_red	sos_length	sos_gfp	sos_ds_red	n_divisons	time_last_division	time_since_last_divison_to_experiment_start
Chromosome	xy01_1_10.008-34.000	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	20	120	25.849646487889306	0.9977302985958354	2.9875062905530627	36.53545036273304	0.996521129095034	2.983707008194609	41.41516615391844	0.9980405919430184	2.9876709642777337	2	60	50
Chromosome	xy01_1_11.006-26.003	TRUE	TRUE	TRUE	TRUE	38.9411059500359	100	60	100	150	10	120	41.41516615391844	0.9980405919430184	2.9876709642777337	85.05345252377232	0.9976678373790177	2.983268990936683	41.41516615391844	0.9980405919430184	2.9876709642777337	1	10	50
Chromosome	xy01_10_10.024-27.026	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	30	120	29.758012989710977	0.9955399503505116	2.984404846235429	89.14716514596941	0.996419902037096	2.9825580524054507	40.57865927484874	0.9952399533393004	2.983931819089981	4	70	10
Chromosome	xy01_11_10.011-26.006	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	70	120	30.654427112414304	0.9951047258004004	2.987653322698638	81.9571796113897	0.9967007732640948	2.9825402687810896	40.39063000213173	0.9951047258004004	3.0155266078340137	2	80	50
Chromosome	xy01_11_10.011-28.013	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	70	120	30.654427112414304	0.9951047258004004	2.987653322698638	81.9571796113897	0.9967007732640948	2.9825402687810896	40.39063000213173	0.9951047258004004	3.0155266078340137	2	80	50
Chromosome	xy01_11_10.011-34.012	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	70	120	30.654427112414304	0.9951047258004004	2.987653322698638	81.9571796113897	0.9967007732640948	2.9825402687810896	40.39063000213173	0.9951047258004004	3.0155266078340137	2	80	50
Chromosome	xy01_14_10.007-34.026	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	20	120	26.315491731576987	0.995073101508014	2.987612157115647	46.84400485115678	0.99824489044343	2.982777342997145	40.79616880469639	0.996369270060387	2.9869472589580286	2	50	10
Chromosome	xy01_14_15.008-30.002	TRUE	TRUE	TRUE	TRUE	38.9411059500359	60	60	100	150	70	120	32.136113849544955	0.9960599734119716	2.982190423325353	42.35104364812914	0.9978031463582672	2.9853675544088913	42.35104364812914	0.9978031463582672	2.9853675544088913	1	50	10
Chromosome	xy01_2_10.002-27.017	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	20	120	25.40962795160893	0.9968802626833932	2.9886228853840993	97.90884792413225	0.9991738228262204	2.9828602981508165	50.28805805671728	0.9991066229097664	2.988998561676177	1	10	50
Chromosome	xy01_2_10.002-30.034	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	20	120	25.40962795160893	0.9968802626833932	2.9886228853840993	97.90884792413225	0.9991738228262204	2.9828602981508165	50.28805805671728	0.9991066229097664	2.988998561676177	1	10	50
Chromosome	xy01_2_10.002-34.001	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	20	120	25.40962795160893	0.9968802626833932	2.9886228853840993	94.80668877798372	0.99705959761931	2.9834821180015947	50.28805805671728	0.9991066229097664	2.988998561676177	2	70	50
Chromosome	xy01_2_11.005-17.001	TRUE	FALSE	FALSE	TRUE	38.9411059500359	60	60	100	150	10	80	50.28805805671728	0.9991066229097664	2.988998561676177	70.4287035198853	0.9992306673710032	3.159523060271713	50.28805805671728	0.9991066229097664	2.988998561676177	1	10	50
Chromosome	xy01_25_11.017-29.034	TRUE	TRUE	TRUE	TRUE	38.9411059500359	100	60	100	150	70	120	33.873556921303674	0.996005755533654	2.9859928308970294	75.40052000782623	1.0001140681275251	2.9872592001901266	41.15042821115398	1.0005304066960623	3.2696103122040387	1	10	50
Chromosome	xy01_27_10.026-34.041	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	30	120	28.00459226633996	0.9964583042966662	2.986322918253266	53.753059497279416	0.9984956612127316	2.9826647437361276	39.5659361583974	0.9957186904911224	2.983434762588141	2	70	40
Chromosome	xy01_29_10.020-20.022	TRUE	FALSE	FALSE	TRUE	38.9411059500359	100	60	100	150	70	110	28.912788403651017	0.995748465613326	2.9859692466880747	38.7650409162383	0.9973048449548264	3.1799456648900644	40.84690202489801	0.9951732286391656	3.0210863217904733	3	60	40
Chromosome	xy01_3_10.000-34.004	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	40	120	25.657709533132	0.9973326562121296	2.9870649905612296	66.72571642256533	0.9969743021891252	2.98371292528649	41.16579247761891	0.99624700422877	2.984452129653483	1	40	20
Chromosome	xy01_4_10.015-34.047	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	60	120	37.24962399664901	0.9965071696656556	2.985869004066181	58.10449401581787	0.9973674150644356	2.9827891943942255	39.60128407757959	0.9950572875617284	2.9813951452421033	2	70	60
Chromosome	xy01_5_10.003-33.011	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	80	120	29.01373519765535	0.9962906788336328	2.9876239189820057	77.5760529810804	0.9961334073943676	2.9855917806502807	40.42064117103138	0.996398952366516	3.1067427165123984	1	20	40
Chromosome	xy01_5_10.003-34.014	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	80	120	29.01373519765535	0.9962906788336328	2.9876239189820057	77.5760529810804	0.9961334073943676	2.9855917806502807	40.42064117103138	0.996398952366516	3.1067427165123984	1	20	40
Chromosome	xy01_5_10.003-34.020	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	80	120	29.01373519765535	0.9962906788336328	2.9876239189820057	77.5760529810804	0.9961334073943676	2.9855917806502807	40.42064117103138	0.996398952366516	3.1067427165123984	1	20	40
Chromosome	xy01_6_10.021-25.018	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	40	120	27.573211135992835	0.9966066101992418	2.985927972223079	84.66503152255554	0.9977615221841434	2.9830498694100283	44.49520132701113	0.996578701857704	2.983268990936683	1	50	10
Chromosome	xy01_6_10.021-34.020	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	40	120	27.573211135992835	0.9966066101992418	2.985927972223079	56.12360903443761	0.9958920270618934	2.981798843166039	44.49520132701113	0.996578701857704	2.983268990936683	2	90	NA
Chromosome	xy01_6_10.021-34.034	TRUE	TRUE	TRUE	TRUE	38.9411059500359	110	60	100	150	40	120	27.573211135992835	0.9966066101992418	2.985927972223079	56.12360903443761	0.9958920270618934	2.981798843166039	44.49520132701113	0.996578701857704	2.983268990936683	2	90	NA
Chromosome	xy01_6_15.017-26.019	TRUE	TRUE	TRUE	TRUE	38.9411059500359	60	60	100	150	10	120	53.948924056137656	0.9964216477479028	2.981591089394261	62.53615662906121	0.99705959761931	2.982403911179075	53.948924056137656	0.9964216477479028	2.981591089394261	1	50	10
